Variable	Value
PR	[35396](https://github.com/qgis/QGIS/pull/35396)
datetime	2020-03-30T06:54:23Z
tags	-
Description	Allowing saving outputs direct to more database formats (and other nice stuff)
Author	nyalldawson
milestone	3.14.0
PR	[35364](https://github.com/qgis/QGIS/pull/35364)
datetime	2020-03-26T15:30:28Z
tags	Processing
Description	Vector tile layer - part 1
Author	wonder-sk
milestone	3.14.0
PR	[35341](https://github.com/qgis/QGIS/pull/35341)
datetime	2020-04-02T14:06:31Z
tags	-
Description	Allow running algorithms directly on database (and other non-disk) sources without loading into projects first
Author	nyalldawson
milestone	3.14.0
PR	[35324](https://github.com/qgis/QGIS/pull/35324)
datetime	2020-03-26T01:55:47Z
tags	Processing
Description	Port processing extent parameter to new api, many other improvements
Author	nyalldawson
milestone	3.14.0
PR	[35321](https://github.com/qgis/QGIS/pull/35321)
datetime	2020-03-25T09:25:42Z
tags	Processing
Description	Interface and API for unified development/debugging tools
Author	nyalldawson
milestone	3.14.0
PR	[35319](https://github.com/qgis/QGIS/pull/35319)
datetime	2020-03-25T10:03:19Z
tags	API
Description	Expose per-feature-source advanced options for processing inputs
Author	nyalldawson
milestone	3.14.0
PR	[35292](https://github.com/qgis/QGIS/pull/35292)
datetime	2020-03-24T23:42:18Z
tags	Processing
Description	Resampling from vertex values to face values
Author	vcloarec
milestone	3.14.0
PR	[35264](https://github.com/qgis/QGIS/pull/35264)
datetime	2020-03-24T09:03:55Z
tags	Mesh
Description	Enable snapping to grid for models in designer
Author	nyalldawson
milestone	3.14.0
PR	[35251](https://github.com/qgis/QGIS/pull/35251)
datetime	2020-03-23T09:25:34Z
tags	Processing
Description	Add numeric formatter fraction style
Author	nyalldawson
milestone	3.14.0
PR	[35244](https://github.com/qgis/QGIS/pull/35244)
datetime	2020-03-23T04:24:38Z
tags	Print Layouts
Description	Add stepped line and hollow scalebar styles
Author	nyalldawson
milestone	3.14.0
PR	[35238](https://github.com/qgis/QGIS/pull/35238)
datetime	2020-03-22T17:08:51Z
tags	Print Layouts
Description	Allow scalebar line style to be set using standard QGIS line symbols
Author	nyalldawson
milestone	3.14.0
PR	[35225](https://github.com/qgis/QGIS/pull/35225)
datetime	2020-03-22T06:41:32Z
tags	Print Layouts
Description	Add data-defined property to font family/style for font markers
Author	nirvn
milestone	3.14.0
PR	[35224](https://github.com/qgis/QGIS/pull/35224)
datetime	2020-03-22T05:24:09Z
tags	Symbology
Description	coloring mesh vector dataset with color ramp shader
Author	vcloarec
milestone	3.14.0
PR	[35216](https://github.com/qgis/QGIS/pull/35216)
datetime	2020-03-24T08:58:49Z
tags	Mesh
Description	add maptip, expression display and eval_template expressions
Author	Gustry
milestone	3.14.0
PR	[35211](https://github.com/qgis/QGIS/pull/35211)
datetime	2020-03-25T23:24:20Z
tags	Expressions
Description	Add @layers, @layer_ids project scope variables
Author	nyalldawson
milestone	3.14.0
PR	[35208](https://github.com/qgis/QGIS/pull/35208)
datetime	2020-03-20T02:56:23Z
tags	Expressions
Description	Add a font style setting for font markers
Author	nirvn
milestone	3.14.0
PR	[35197](https://github.com/qgis/QGIS/pull/35197)
datetime	2020-03-21T05:11:17Z
tags	Symbology
Description	Rework picture item UI and behavior
Author	nyalldawson
milestone	3.14.0
PR	[35160](https://github.com/qgis/QGIS/pull/35160)
datetime	2020-03-19T03:18:49Z
tags	Print Layouts
Description	Add filter by geometry type and filter by layer type algorithms to processing
Author	nyalldawson
milestone	3.14.0
PR	[35130](https://github.com/qgis/QGIS/pull/35130)
datetime	2020-03-17T16:52:38Z
tags	Processing
Description	Make Add Group button act as Group Selected if selected layers >= 2
Author	uclaros
milestone	3.14.0
PR	[35097](https://github.com/qgis/QGIS/pull/35097)
datetime	2020-03-16T02:11:08Z
tags	-
Description	Feature: Add toolbutton to Deselect Features from the Current Active layer
Author	suricactus
milestone	3.14.0
PR	[35085](https://github.com/qgis/QGIS/pull/35085)
datetime	2020-03-18T03:26:49Z
tags	-
Description	Optionally, also remove EMPTY geometries in RemoveNullGeometries algorithm
Author	gacarrillor
milestone	3.14.0
PR	[35084](https://github.com/qgis/QGIS/pull/35084)
datetime	2020-03-15T07:37:53Z
tags	-
Description	Data type support for QgsProcessingParameterMapLayer
Author	alexbruy
milestone	3.14.0
PR	[35076](https://github.com/qgis/QGIS/pull/35076)
datetime	2020-03-15T14:14:21Z
tags	Processing
Description	Add processing parameter types for database schema and table name
Author	nyalldawson
milestone	3.14.0
PR	[35056](https://github.com/qgis/QGIS/pull/35056)
datetime	2020-03-14T06:57:16Z
tags	Processing
Description	Add description to value relation widget
Author	m-kuhn
milestone	3.14.0
PR	[35035](https://github.com/qgis/QGIS/pull/35035)
datetime	2020-03-17T14:32:47Z
tags	-
Description	Add multi-selection handling to model designer, interactive resizing
Author	nyalldawson
milestone	3.14.0
PR	[34987](https://github.com/qgis/QGIS/pull/34987)
datetime	2020-03-12T03:14:34Z
tags	Processing
Description	New database table name widget
Author	elpaso
milestone	3.14.0
PR	[34968](https://github.com/qgis/QGIS/pull/34968)
datetime	2020-03-12T20:35:54Z
tags	API;QGIS Browser
Description	Add dedicated parameter type for database connections
Author	nyalldawson
milestone	3.14.0
PR	[34955](https://github.com/qgis/QGIS/pull/34955)
datetime	2020-03-10T09:10:54Z
tags	Processing
Description	arrows for 3D mesh layer dataset rendering
Author	vcloarec
milestone	3.14.0
PR	[34945](https://github.com/qgis/QGIS/pull/34945)
datetime	2020-03-11T06:51:03Z
tags	Mesh
Description	Add undo/redo support to model designer
Author	nyalldawson
milestone	3.14.0
PR	[34938](https://github.com/qgis/QGIS/pull/34938)
datetime	2020-03-10T22:39:55Z
tags	Processing
Description	Add control over anchor point for callout on label
Author	nyalldawson
milestone	3.14.0
PR	[34936](https://github.com/qgis/QGIS/pull/34936)
datetime	2020-03-09T05:29:52Z
tags	Labeling
Description	PG: expose foreign tables
Author	elpaso
milestone	3.14.0
PR	[34914](https://github.com/qgis/QGIS/pull/34914)
datetime	2020-03-07T03:55:30Z
tags	Data Provider
Description	Add expression variables for current map temporal range
Author	nyalldawson
milestone	3.14.0
PR	[34898](https://github.com/qgis/QGIS/pull/34898)
datetime	2020-03-08T21:29:46Z
tags	Expressions
Description	Remember parameter values between model designer runs
Author	nyalldawson
milestone	3.14.0
PR	[34895](https://github.com/qgis/QGIS/pull/34895)
datetime	2020-03-06T08:22:51Z
tags	Processing
Description	allow to install stable or experimental
Author	olivierdalang
milestone	3.14.0
PR	[34876](https://github.com/qgis/QGIS/pull/34876)
datetime	2020-03-15T19:31:18Z
tags	-
Description	PG raster expose set filter to app
Author	elpaso
milestone	3.14.0
PR	[34871](https://github.com/qgis/QGIS/pull/34871)
datetime	2020-03-05T14:34:33Z
tags	Data Provider;Raster
Description	Comments in Processing Models
Author	nyalldawson
milestone	3.14.0
PR	[34856](https://github.com/qgis/QGIS/pull/34856)
datetime	2020-03-05T17:49:17Z
tags	Processing
Description	Mesh 1D Renderer
Author	PeterPetrik
milestone	3.14.0
PR	[34848](https://github.com/qgis/QGIS/pull/34848)
datetime	2020-03-09T04:59:52Z
tags	-
Description	Get current parent form values in child forms
Author	elpaso
milestone	3.14.0
PR	[34827](https://github.com/qgis/QGIS/pull/34827)
datetime	2020-03-05T09:51:44Z
tags	Forms
Description	Relation wdgt: add checkbox to hide save child edits button
Author	elpaso
milestone	3.14.0
PR	[34760](https://github.com/qgis/QGIS/pull/34760)
datetime	2020-02-28T14:52:46Z
tags	Forms;GUI/UX
Description	Relation widget force suppress popup
Author	elpaso
milestone	3.14.0
PR	[34654](https://github.com/qgis/QGIS/pull/34654)
datetime	2020-02-27T07:11:45Z
tags	Forms
Description	New standalone console tool for running processing algorithms
Author	nyalldawson
milestone	3.14.0
PR	[34617](https://github.com/qgis/QGIS/pull/34617)
datetime	2020-04-15T08:20:28Z
tags	Processing
Description	New parameter type for datetime (or date, or time) values
Author	nyalldawson
milestone	3.14.0
PR	[34610](https://github.com/qgis/QGIS/pull/34610)
datetime	2020-02-24T07:23:42Z
tags	Processing
Description	QGIS Project temporal settings
Author	Samweli
milestone	3.14.0
PR	[34590](https://github.com/qgis/QGIS/pull/34590)
datetime	2020-03-06T21:43:14Z
tags	-
Description	Make CRS controlable by a variable
Author	roya0045
milestone	3.14.0
PR	[34547](https://github.com/qgis/QGIS/pull/34547)
datetime	2020-02-22T20:50:56Z
tags	Print Layouts
Description	mesh simplification
Author	vcloarec
milestone	3.14.0
PR	[34532](https://github.com/qgis/QGIS/pull/34532)
datetime	2020-02-25T07:05:50Z
tags	Mesh
Description	WMS-T layers temporal constrains support
Author	Samweli
milestone	3.14.0
PR	[34497](https://github.com/qgis/QGIS/pull/34497)
datetime	2020-03-05T08:41:37Z
tags	-
Description	Temporal API
Author	Samweli
PR	[34040](https://github.com/qgis/QGIS/pull/34040)
datetime	2020-02-24T03:48:40Z
tags	-
Description	New snapping modes: Centroid and middle of a segment (midpoint)
Author	lbartoletti
milestone	3.14.0
PR	[33622](https://github.com/qgis/QGIS/pull/33622)
datetime	2020-03-02T08:02:36Z
tags	Digitizing
Description	Show 'template layer' constraints info in the Refactor fields algorithm's UI
Author	gacarrillor
milestone	3.14.0
PR	[31387](https://github.com/qgis/QGIS/pull/31387)
datetime	2020-03-18T06:10:07Z
tags	-
